#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
88games;'88 Games;mame;;1988;Konami;Sports / Track & Field;4;0;only_buttons,only_buttons,only_buttons,only_buttons;good;1;raster;;;4P alt / 2P sim;3;;;;
flagrall;'96 Flag Rally;mame;;1996;Promat?;Maze / Driving;1;0;joystick (8-way);good;1;raster;;;1P;2;;;;
pr_lday;'L' Of A Day (Project) (Cash set) (PROCONN);mame;;199?;Project;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
005;005;mame;;1981;Sega;Maze / Shooter Small;2;270;joystick (4-way),joystick (4-way);imperfect;1;raster;;;2P alt;1;;;;
tgoldeye;007: GoldenEye (Tiger);mame;;1996;Tiger Electronics;Handheld / Electronic Game;1;0;joystick (8-way);good;1;svg;;;Non-arcade;4;;;;
1on1gov;1 on 1 Government (Japan);mame;;2000;Tecmo;Sports / Basketball;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;coh1002m;;4P sim;5;;;;
jak_1vs;1 Vs 100 (JAKKS Pacific TV Game);mame;;2007;JAKKS Pacific Inc / Pronto Games;Handheld / Plug n' Play TV Game;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;4;;;;
jouet;10 Jeux Interactifs / Jeux Pour Filles (France);mame;;200?;<unknown>;Computer / Child Computer;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
m4tenten;10 X 10 (Barcrest) (MPU4) (T20 0.2);mame;;199?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
10yard;10-Yard Fight (World, set 1);mame;;1983;Irem;Sports / Football;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
mc_dcat8;100 in 1 (D-CAT8 8bit Console, set 1) (v5.01.11-frd, BL 20041217);mame;;2004;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
mc_aa2;100 in 1 Arcade Action II (AT-103);mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
100lions;100 Lions (10219211, NSW/ACT);mame;;2006;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
kazaaan2;100&Medal GekiKazaaan!! (MDA-C0098D);mame;;2016;Sega;Medal Game / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;segasp;;chd;3;;;;
kazaaan;100&Medal Kazaaan!!;mame;;2010;Sega;Medal Game / Misc.;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;segasp;;;3;;;;
gtmr;1000 Miglia: Great 1000 Miles Rally (Taiwan 94/07/18);mame;;1994;Kaneko;Driving / Race;2;0;joystick (8-way),dial,paddle,joystick (8-way);good;1;raster;;;2P alt;2;;;;
100in1rg;100in1rg;mame;;;;Game Console / Home Mahjong;;;;;;;;;;;;;;
sen101;101 Games in 1 (Senario, NES/Famicom bootlegs);mame;;2009;Senario;Handheld / Plug n' Play TV Game / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
rw10r;10R (Rockwell);mame;;1974;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;16;;;;
mc_110cb;110 in 1 CoolBaby (CoolBoy RS-1S);mame;;200?;CoolBoy;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
119;119 (bootleg?);mame;;1986;Coreland / Sega;Platform / Run Jump;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;;1;;;;
lee1214d;1214D Display Terminal;mame;;1985;Lee Data;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
lee1220;1220 Display Terminal;mame;;1983;Lee Data;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
rw12r;12R: Square Root;mame;;1975;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;16;;;;
mc_138cb;138 in 1 CoolBaby (CoolBoy RS-5, PCB060-10009011V1.3);mame;;200?;CoolBoy;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
hazl1420;1420 Video Display Terminal;mame;;1979;Hazeltine;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;70;;;;
15lions;15 Lions (10166211, Queensland);mame;;2004;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
ddr33v;16-bit TV Dance Pad with 15 songs / Dance Dance Party Mix (DDRGame);mame;;2008;DDRGame / Hyperkin;Handheld / Plug n' Play TV Game / Music;1;0;joystick (16-way);imperfect;1;raster;;;Non-arcade;1;;;;
progolf;18 Holes Pro Golf (set 1);mame;;1981;Data East Corporation;Sports / Golf;2;270;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P alt;1;;;;
18w;18 Wheeler (set 1);mame;;1979;Midway;Electromechanical / Truck Driving;1;;paddle,pedal;preliminary;0;;;;1P;2;;;;
18wheelr;18 Wheeler: American Pro Trucker (deluxe, Rev A);mame;;2000;Sega;Driving / Truck Guide;1;0;paddle,pedal;preliminary;1;raster;naomi;;1P;5;;;;
t1850;1850 Deluxe Table Chess (model 60-2199);mame;;1986;Tandy Corporation / SciSys / Heuristic Software;Board Game / Chess Machine;1;;keypad;good;0;;;;Non-arcade;17;;;;
rw18r;18R: Memory;mame;;1975;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;20;;;;
1941;1941: Counter Attack (World 900227);mame;;1990;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
pc_1942;1942 (PlayChoice-10);mame;;1987;Capcom;Shooter / Flying Vertical;2;0;joystick (8-way),joystick (8-way);good;2;raster;playch10;;2P alt;2;;;;
1942;1942 (Revision B);mame;;1984;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
1943kai;1943 Kai: Midway Kaisen (Japan);mame;;1987;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
1943;1943: The Battle of Midway (Euro);mame;;1987;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
1943mii;1943: The Battle of Midway Mark II (US);mame;;1987;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
1944;1944: The Loop Master (Europe 000620);mame;;2000;Eighting / Raizing (Capcom license);Shooter / Flying Vertical;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
1945kiii;1945k III (newer, OPCX2 PCB);mame;;2000;Oriental Soft;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;4;;;;
ncd19c;19c;mame;;1991;Network Computing Devices;Slot Machine / Video Slot;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
19xx;19XX: The War Against Destiny (Europe 960104);mame;;1996;Capcom;Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
f2pbball;2 Player Baseball (Fonas);mame;;1979;Fonas;Handheld / Electronic Game;2;;only_buttons,only_buttons;good;0;;;;Non-arcade;5;;;;
atgsms;20 SEGA Master System & Game Gear Classics - Plug & Play on TV;mame;;200?;AtGames / time;Handheld / Plug n' Play TV Game / Multi-Games;1;0;joystick (8-way);preliminary;1;raster;;;;2;;;;
mc_tv200;200 in 1 Retro TV Game;mame;;201?;Thumbs Up;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
mc_105te;2011 Super HiK 105 in 1 Turbo Edition;mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;Non-arcade;2;;;;
2020bb;2020 Super Baseball (set 1);mame;;1991;SNK / Pallas;Sports / Baseball;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;2P sim;4;;;;
cbnt2039;2039 Controller;mame;;1993;Cablenet;Computer / Cablenet Controller;0;;;preliminary;0;;;;Non-arcade;;;;;
sigma21;21 (Sigma);mame;;197?;Sigma Enterprises;Gambling / Cards;0;0;;preliminary;1;raster;;;???;;;;;
m421club;21 Club (Barcrest) (Dutch) (MPU4) (DTW 2.7);mame;;199?;Barcrest;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
bb_21up;21 Up (Bellfruit) (Black Box) (5p Stake, £1 Jackpot);mame;;1979;BFM;Electromechanical / Reels;1;;gambling;preliminary;0;;;;1P;7;;;;
24_150;24 v1.50;mame;;2009;Stern;Electromechanical / Pinball;0;;;preliminary;0;;;;Pinball;;;;;
rw24k;24K (Rockwell);mame;;1976;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;25;;;;
ep_25crt;25 Carrot Gold (Maygay) (EPOCH) (1.2, set 1);mame;;2002;Maygay;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
senario25;25 Video Games - All in 1 Video System (Senario);mame;;200?;Senario / JungleTac;Handheld / Plug n' Play TV Game / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
ind250cc;250 CC;mame;;1992;Inder;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;37;;;;
esp250c;250C;mame;;2005;Esprit Systems;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
265games;265-in-1 Handheld Game (SPG2xx based);mame;;201?;<unknown>;Handheld / Plug n' Play TV Game / Multi-Games;1;0;joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
cd2650;2650 Computer System;mame;;1977;Central Data;Computer / Construction Kit;1;0;keyboard;good;1;raster;;;Non-arcade;73;;;;
sc5plays;28 Plays Later (Qps) (Scorpion 5) (set 1);mame;;200?;Qps;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
280zzzap;280-ZZZAP (set 1);mame;;1976;Dave Nutting Associates / Midway;Driving / 1st Person;1;0;paddle,pedal;good;1;raster;;;1P;1;;;;
m4nud2p;2p Nudger (Mdm?) (MPU4);mame;;199?;Mdm?;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
m42punlm;2p Unlimited (Mdm) (MPU4);mame;;199?;Mdm;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;7;;;;
3bagfull;3 Bags Full (5VXFC790, Victoria);mame;;1996;Aristocrat;Slot Machine / Video Slot;1;0;gambling;good;1;raster;;;1P;23;;;;
3cdpoker;3 Cards Poker 96 (V1.6);mame;;1996;Armaly Labs;Gambling / Cards;1;0;gambling;good;1;raster;;;???;10;;;;
3countb;3 Count Bout / Fire Suplex (NGM-043 ~ NGH-043);mame;;1993;SNK;Sports / Wrestling;2;0;joystick (8-way),joystick (8-way);good;1;raster;neogeo;;2P sim;4;;;;
t3in1sa;3 in 1 Sports Arena;mame;;1984;Tandy Corporation;Handheld / Electronic Game;2;;joystick (16-way),joystick (16-way);good;0;;;;Non-arcade;4;;;;
f3in1;3 in 1: Football, Basketball, Soccer;mame;;1979;Fonas;Handheld / Electronic Game;1;;joystick (16-way);good;0;;;;Non-arcade;3;;;;
3lilpigs;3 Lil' Pigs;mame;;199?;Doyle & Assoc.;Electromechanical / Skill Game;1;0;keypad;preliminary;1;lcd;;;???;9;;;;
3mini;3 Mini;mame;;1987;Arfyc;Gambling / Misc.;1;;;preliminary;0;;;;???;;;;;
3on3dunk;3 On 3 Dunk Madness (US, prototype? 1997/02/04);mame;;1996;Video System Co.;Sports / Basketball;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P sim;4;;;;
3super8;3 Super 8 (Italy);mame;;1993?;<unknown>;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;8;;;;
bowl3d;3-D Bowling;mame;;1978;Meadows Games, Inc.;Sports / Bowling;2;90;joystick (2-way),joystick (2-way);preliminary;1;raster;;;2P alt;4;;;;
fpsport;3-in-1 Smart Sports! (US);mame;;2008;Fisher-Price;Handheld / Plug n' Play TV Game / Sports;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
30test;30 Test (remake);mame;;1997;Namco;Electromechanical / Misc.;1;;;good;0;;;;1P;;;;;
y301xl;301 XL (Yeno);mame;;1988;Yeno / Bray Research;Board Game / Chess Machine;1;;keypad;good;0;;;;Non-arcade;14;;;;
bullseye;301/Bullseye (301 Darts Scoring);mame;;1986;Grand Products;Electromechanical / Pinball;1;;keypad;preliminary;0;;;;Pinball;33;;;;
so30h;30H;mame;;199?;SOYO;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;1;raster;;;Non-arcade;3;;;;
rw30r;30R: Slide Rule Memory (B5500 version);mame;;1974;Rockwell;Calculator / Pocket Calculator;1;;keypad;good;0;;;;Non-arcade;20;;;;
digilog320;320;mame;;1988;Digilog;Computer / Protocol Analyzer;1;0;keyboard;preliminary;1;raster;;;Non-arcade;88;;;;
silv35;35 in 1 Super Twins;mame;;200?;SilverLit / JungleTac;Game Console / Home Videogame;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
36pcase;36-in-1 Classic Games phone case;mame;;202?;<unknown>;Handheld / 8-bit Game Cases;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;Non-arcade;2;;;;
s3670;3670;mame;;1984;Symbolics;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
sart3733;3733 (digital scale);mame;;1978?;Sartorius-Werke GmbH;Utilities / Weight Scale;0;;;preliminary;0;;;;Non-arcade;;;;;
scsxaio;386sx Ver. 2.0 motherboard SCsxAIO;mame;ibm5170;199?;Peacock;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;1;raster;ibm5170;;Non-arcade;3;;;;
39in1;39 in 1 MAME bootleg (GNO-V000);mame;;2004;bootleg;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P alt;3;;;;
3b2_300;3B2/300;mame;;1984;AT&T;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
3b2_600;3B2/600;mame;;1987;AT&T;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
3do_fz1;3DO FZ-1 R.E.A.L. Interactive Multiplayer (USA);mame;;1993;Panasonic;Game Console / Home Videogame;1;0;joystick (8-way);preliminary;1;raster;;;;5;;;;
3do_fz10;3DO FZ-10 R.E.A.L. Interactive Multiplayer (USA);mame;;1994;Panasonic;Game Console / Home Videogame;1;0;joystick (8-way);preliminary;1;raster;;;;5;;;;
3do_gdo101;3DO GDO-101M Interactive Multiplayer (USA?);mame;;1994;Goldstar;Game Console / Home Videogame;1;0;joystick (8-way);preliminary;1;raster;;;;5;;;;
3do_try;3DO IMP-21J TRY Interactive Multiplayer (Japan);mame;;1995;Sanyo;Game Console / Home Videogame;1;0;joystick (8-way);preliminary;1;raster;;;;5;;;;
3x3puzzl;3X3 Puzzle (Enterprise);mame;;1998;Ace Enterprise;Puzzle / Multi-Games * Mature *;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;1P;2;;;;
4enraya;4 En Raya (set 1);mame;;1990;IDSA;Puzzle / Solved Game;2;0;joystick (2-way),joystick (2-way);good;1;raster;;;2P sim;2;;;;
4in1;4 Fun in 1;mame;;1981;Armenia / Food and Fun;MultiGame / Compilation;2;90;joystick (8-way),joystick (8-way);imperfect;1;raster;;;2P alt;1;;;;
v4in1eg;4 in 1 Electronic Games (VTech);mame;;1979;VTech;Handheld / Electronic Game;1;;keypad;good;0;;;;Non-arcade;24;;;;
sc4ivply;4 Play (Dutch) (Bellfruit) (Scorpion 4);mame;;200?;BFM;Electromechanical / Reels;1;;mahjong,hanafuda;preliminary;0;;;;???;30;;;;
abl4play;4 Player System - 10 in 1;mame;;200?;Advance Bright Ltd;Handheld / Plug n' Play TV Game / Multi-Games;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;;;Non-arcade;3;;;;
4dwarrio;4-D Warriors (315-5162);mame;;1985;Coreland / Sega;Shooter / Flying Horizontal;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;2;;;;
sms4in1;4-in-1 (version SWS1-052587);mame;;1984;SMS Manufacturing Corp.;Gambling / Multi-Games;1;0;only_buttons;good;1;raster;;;1P;10;;;;
atgame40;40 Bonus Games in 1 (AtGames);mame;;2012;AtGames;Game Console / Home Videogame;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;Non-arcade;3;;;;
digilog400;400;mame;;1987;Digilog;Computer / Protocol Analyzer;1;;keyboard;preliminary;0;;;;Non-arcade;88;;;;
4000_260;4000/260;mame;;1995;ADDS;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;108;;;;
4004clk;4004 Nixie Clock;mame;;2008;John L. Weinrich;Misc. / Clock;1;;;good;0;;;;Non-arcade;;;;;
tek4132;4132;mame;;1984;Tektronix;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;73;;;;
y416xl;416 XL (Yeno);mame;;1989;Yeno;Board Game / Chess Machine;1;;keypad;good;0;;;;Non-arcade;16;;;;
tek4319;4319 Graphics Workstation;mame;;1988;Tektronix;Computer / Graphics Workstation;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
tek4404;4404 Artificial Intelligence System;mame;;1984;Tektronix;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;90;;;;
f4431;4431;mame;;1981;Facit;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;82;;;;
facit4440;4440 Twist (30M-F1);mame;;1984;Facit;Computer / Business - Terminal;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
sis85c496;486 motherboards using the SiS 85C496/85C497 chipset + 3dfx Voodoo 1;mame;;199?;Hack Inc.;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;2;raster;;;Non-arcade;3;;;;
ft486f55;486FT55;mame;;1995;Freetech;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;1;raster;;;Non-arcade;3;;;;
ch486spm;486SPM;mame;;199?;Chaintech;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;1;raster;;;Non-arcade;3;;;;
4d410;4D/410;mame;;1991;Silicon Graphics Inc;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
4jokers;4jokers;mame;;;;Gambling / Cards;;;;;;;;;;;;;;
jantotsu;4nin-uchi Mahjong Jantotsu;mame;;1983;Sanritsu;Tabletop / Mahjong;2;270;mahjong,mahjong;good;1;raster;;;2P alt;19;;;;
ch4spi;4SPI;mame;;199?;Chaintech;Computer / Business - Terminal;1;0;mouse,keyboard;preliminary;1;raster;;;Non-arcade;3;;;;
fourx4;4x4;mame;;1982;Atari;Electromechanical / Pinball;0;;;preliminary;0;;;;Pinball;;;;;
5drag;5 Dragons (20161011, NSW/ACT);mame;;2004;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
5koi;5 Koi - Power Pay (10250711, NSW/ACT);mame;;2007;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
5acespkr;5-Aces Poker;mame;;198?;<unknown>;Gambling / Cards;1;0;gambling;good;1;raster;;;1P;10;;;;
50lions;50 Lions (10120511, NSW/ACT);mame;;2002;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
50lionrr;50 Lions - Roaring Riches (20301311, NSW/ACT);mame;;2012;Aristocrat;Slot Machine / Video Slot;0;0;;preliminary;1;raster;aristmk6;;???;;;;;
500gp;500 GP (US, 5GP3 Ver. C);mame;;1998;Namco;Driving / Motorbike;2;0;joystick (vertical2-way),joystick (analog),pedal,joystick (vertical2-way);preliminary;1;raster;;;???;4;;;;
500in1hh;500-in-1 Handheld Game;mame;;202?;<unknown>;Handheld / Home Videogame Console;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;2;;;;
y532xl;532 XL (Yeno);mame;;1989;Yeno;Board Game / Chess Machine;1;;keypad;good;0;;;;Non-arcade;18;;;;
j2nud5p;5p Nudger (JPM) (MPS);mame;;198?;JPM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
j5fifth;5th Avenue (JPM) (SYSTEM5-SAA);mame;;199?;JPM;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;14;;;;
j6fifth;5th Dimension (Ace) (IMPACT);mame;;199?;Ace;Slot Machine / Reels;1;;;preliminary;0;;;;???;;;;;
pr_5xcsh;5x Cash (Project) (PROCONN);mame;;199?;Project;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sudo6in1;6-in-1 Sudoku Plug & Play;mame;;200?;Nice Code;Handheld / Plug n' Play TV Game / Sudoku;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
600cat;600 Cellular Activation Tester;mame;;199?;Wavetek;Utilities / Cellular Activation Tester;0;0;;preliminary;1;lcd;;;Non-arcade;;;;;
att610;610 Business Communication Terminal;mame;;1986;AT&T;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
tek6130;6130;mame;;1984;Tektronix;Computer / Workstation - Server;1;0;keyboard;preliminary;1;raster;;;Non-arcade;73;;;;
att615;615 MT;mame;;1987;AT&T;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
t3_630;630 Games in 1 Handheld (T3);mame;;202?;<unknown>;Handheld / Home Videogame Console;2;0;joystick (8-way),joystick (8-way);preliminary;1;raster;;;;2;;;;
att630;630 MTG;mame;;1986;AT&T;Computer / Business - Terminal;1;0;mouse;preliminary;1;raster;;;Non-arcade;3;;;;
att6300p;6300 Plus;mame;;1985;AT&T;Computer / Business - Terminal;1;0;mouse,keyboard;imperfect;1;raster;;;;3;;;;
64street;64th. Street: A Detective Story (World);mame;;1991;Jaleco;Fighter / 2.5D;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;2;;;;
mex68kecb;68000 Educational Computer Board;mame;;1981;Motorola;Computer / Educational Computer;1;0;keyboard;good;1;raster;;;Non-arcade;74;;;;
d6809;6809 Portable;mame;;1983;Dunfield;Computer / Laptop - Notebook - Portable;1;0;keyboard;preliminary;1;raster;;;Non-arcade;73;;;;
68ksbc;68k Single Board Computer;mame;;2002;Wichit Sirichote;Computer / Single Board;1;0;keyboard;good;1;raster;;;Non-arcade;73;;;;
j6svndb;7 Deadly Bins (Ace) (IMPACT);mame;;199?;Ace;Slot Machine / Reels;1;;;preliminary;0;;;;???;;;;;
7mezzo;7 e Mezzo;mame;;198?;<unknown>;Tabletop / Cards;1;0;only_buttons;good;1;raster;;;1P;7;;;;
7gold;7 Gold;mame;;200?;<unknown>;Gambling / Misc.;1;0;;preliminary;1;raster;;;???;;;;;
t7in1ss;7 in 1 Sports Stadium;mame;;1982;Tiger Electronics;Handheld / Electronic Game;2;;joystick (8-way),joystick (8-way);good;0;;;;Non-arcade;2;;;;
7ordi;7 Ordi (Korea);mame;;2002;Yun Sung;Gambling / Cards * Mature *;1;0;only_buttons;good;1;raster;;;1P;6;;;;
7smash;7 Smash (set 1);mame;;1993;Sovic;Slot Machine / Video Slot;1;0;gambling;preliminary;1;raster;;;1P;7;;;;
korg707;707 Performing Synthesizer;mame;;1987;Korg;Musical Instrument / Synthesizer;1;0;;preliminary;1;lcd;;;Non-arcade;;;;;
basf7120;7120;mame;;1982;BASF;Computer / Business - Terminal;1;0;keyboard;preliminary;1;raster;;;Non-arcade;84;;;;
720;720 Degrees (rev 4);mame;;1986;Atari Games;Sports / Skateboarding;1;0;joystick (analog),dial;good;1;raster;;;2P alt;2;;;;
cdc721;721 Display Terminal;mame;;1981;Control Data Corporation;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
att730x;730X;mame;;1990;AT&T;Computer / Business - Terminal;1;0;mouse;preliminary;1;raster;;;Non-arcade;3;;;;
pr_7hvn;777 Heaven (Project) (PROCONN);mame;;199?;Project;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
sc5_3515;777 Heaven (Scorpion 5);mame;;200?;BFM;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
mc_7x6ss;777777 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB);mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
7951om;7951om;mame;;1987;Mera-Elzab;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
7jigen;7jigen no Youseitachi - Mahjong 7 Dimensions (Japan);mame;;1990;Dynax;Tabletop / Mahjong * Mature *;2;180;mahjong,gambling,mahjong;imperfect;1;raster;;;1P;20;;;;
elwro800;800-3 Junior;mame;;1986;Elwro;Computer / Home System;1;0;keyboard;good;1;raster;;;Non-arcade;75;;;;
86lions;86 Lions;mame;;1985;Aristocrat;Slot Machine / Video Slot;1;0;gambling;preliminary;1;raster;;;1P;23;;;;
mc_8x6ss;888888 in 1 (8 bit Slim Station, NEWPXP-DVT22-A PCB);mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
mc_8x6cb;888888 in 1 (Coolboy AEF-390);mame;;200?;CoolBoy;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
mc_89in1;89 in 1 Mini Game Console (060-92023011V1.0);mame;;201?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
9ballsht;9-Ball Shootout (set 1);mame;;1993;E-Scape EnterMedia (Bundra license);Sports / Pool;2;0;joystick (8-way),joystick (8-way);good;1;raster;;;2P alt;3;;;;
e9161;9161 Display Processor Unit;mame;;198?;Ericsson;Computer / Business - Terminal;0;;;preliminary;0;;;;Non-arcade;;;;;
hp9835a;9835A;mame;;1979;Hewlett-Packard;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
hp9845a;9845A;mame;;1977;Hewlett-Packard;Computer / Business - Terminal;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
hp9845b;9845B;mame;;1979;Hewlett-Packard;Computer / Business - Terminal;1;0;keyboard;good;1;raster;;;Non-arcade;118;;;;
hp9845c;9845C;mame;;1980;Hewlett-Packard;Computer / Business - Terminal;1;0;lightgun,keyboard;good;1;raster;;;Non-arcade;1;;;;
hp9845t;9845T;mame;;1982;Hewlett-Packard;Computer / Business - Terminal;1;0;lightgun,keyboard;good;1;raster;;;Non-arcade;1;;;;
changyu2;999;mame;;1991?;Chang Yu Electronic;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;???;13;;;;
mc_9x6ss;999999 in 1 (PXP2 Slim Station);mame;;200?;<unknown>;Game Console / Multi-Games;2;0;joystick (8-way),joystick (8-way);imperfect;1;raster;;;Non-arcade;2;;;;
yes;:YES;mame;;1985;Philips;Computer / Home System;0;0;;preliminary;1;raster;;;Non-arcade;;;;;
